Name,City,Link
University of Freiburg,Freiburg,https://uni-freiburg.de/
Bielefeld University,Bielefeld,https://uni-bielefeld.de/
Eberhard Karls University Tübingen,Tübingen,https://uni-tuebingen.de/
Forschungszentrum Jülich,Jülich,https://www.fz-juelich.de/portal/DE/Home/home_node.html
Georg-August-Universität Göttingen,Göttingen,https://www.uni-goettingen.de/
Heinrich Heine University Düsseldorf,Düsseldorf,https://www.hhu.de/
Helmholtz-Zentrum München,München,https://www.helmholtz-muenchen.de/helmholtz-zentrum-muenchen/index.html
Hochschule Kehl,Kehl,https://www.hs-kehl.de/
Humboldt University Berlin,Berlin,https://www.hu-berlin.de/de
Leibniz Institute of Plant Genetics and Crop Plant Research,Gatersleben,https://www.ipk-gatersleben.de/en/
Ludwigs-Maximilians University Munich,München,https://www.lmu.de/en/
Martin Luther University Halle-Wittenberg,Halle (Saale),https://www.uni-halle.de/
Max-Planck Institute of Molecular Plant Physiology,Potsdam,https://www.mpimp-golm.mpg.de/
Philipps Universität Marburg,Marburg,https://www.uni-marburg.de/de
RLP AgroScience GmbH,Neustadt Wstr.,https://www.agroscience.de/index.php/de/
Ruhr University Bochum,Bochum,https://www.ruhr-uni-bochum.de/de
Universität Münster,Münster,https://www.uni-muenster.de/de/
University Kaiserslautern-Landau,Kaiserslautern,https://rptu.de/
University of Cologne,Köln,https://www.uni-koeln.de/
University of Hohenheim,Hohenheim,https://www.uni-hohenheim.de/
University of Konstanz,Konstanz,https://www.uni-konstanz.de/
University of Regensburg,Regensburg,https://www.uni-regensburg.de/
University Potsdam,Potsdam,https://www.uni-potsdam.de/de/
