Name,Institution_Name,Link,City,Role
DiP-KS,Martin Luther University Halle-Wittenberg,https://www.dip-sachsen-anhalt.de/,Halle (Saale),Member per MoU
Linking organelles by actin tracks to establish membrane contact sites,University Kaiserslautern-Landau,https://gepris.dfg.de/gepris/projekt/405039507?language=en,Kaiserslautern,Supported per LoS
FOR 3000,Bielefeld University,https://gepris.dfg.de/gepris/projekt/415496540,Bielefeld,Member per MoU
SPP 2237: MAdLand,Georg-August-Universität Göttingen,https://gepris.dfg.de/gepris/projekt/422691801,Göttingen,Member per MoU
FOR 5235: CSCS,University of Regensburg,https://gepris.dfg.de/gepris/projekt/448353073?context=projekt&task=showDetail&id=448353073&,Regensburg,Member per Proposal
TRR 356: PlantMicrobe,Ludwigs-Maximilians University Munich,https://gepris.dfg.de/gepris/projekt/491090170,München,Member per MoU
SFB 1597: Small Data,University of Freiburg,https://gepris.dfg.de/gepris/projekt/499552394,Freiburg,Supported per LoS
Highly sensitive bioluminescence and fluorescence imaging system for large fields of view,University Kaiserslautern-Landau,https://gepris.dfg.de/gepris/projekt/520682693,Kaiserslautern,Supported per LoS
de.KCD,Bielefeld University,https://www.bildung-forschung.digital/digitalezukunft/de/wissen/Datenkompetenzen/datenkompetenzzentren_fuer_die_wissenschaft_ordner/projekte_dkz/dekcd/dekcd.html?nn=720558,Bielefeld,Supported per LoS
RLP AgroScience GmbH,RLP AgroScience GmbH,https://www.agroscience.de/index.php/de/,Neustadt Wstr.,Member per MoU
SFB 1664,Martin Luther University Halle-Wittenberg,https://gepris.dfg.de/gepris/projekt/514901783?context=projekt&task=showDetail&id=514901783&,Halle (Saale),Member per MoU
TRR 341: Plant Ecological Genetics,University of Cologne,https://gepris.dfg.de/gepris/projekt/456082119,Köln,Member per Personalunion/DataSteward
EXC 2048: CEPLAS ,Heinrich Heine University Düsseldorf,https://gepris.dfg.de/gepris/projekt/390686111,Düsseldorf,Member per Personalunion/DataSteward
SFB 1535: Microbial networking - from organelles to cross-kingdom communities,Heinrich Heine University Düsseldorf,https://gepris-extern.dfg.de/gepris/projekt/458090666,Düsseldorf,Member per Personalunion/DataSteward
TRR 176: The Green Hub,Ludwigs-Maximilians University Munich,https://gepris.dfg.de/gepris/projekt/270050988,München,Member per Proposal
CRC 1644,University Potsdam,https://www.uni-potsdam.de/en/ppp/,Potsdam,Member per Proposal
FOR5571: PhytOakmeter,Philipps Universität Marburg,https://gepris.dfg.de/gepris/projekt/507084794,Marburg,Member per MoU
FOR 5573: GoPMF,Universität Münster,https://gepris.dfg.de/gepris/projekt/507704013,Münster,Member per MoU
